GeneName,URL
CYT1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G39770
P5CS1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G39800
ISA1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G39930
DPE2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G40840
CYP98A3,HTTPS://biocyc.org/gene?orgid=META&id=AT2G40890
CKX1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G41510
At2G41540,HTTPS://biocyc.org/gene?orgid=META&id=AT2G41540
AGK1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G41880
PLD,HTTPS://biocyc.org/gene?orgid=META&id=AT2G42010
at2g42310,HTTPS://biocyc.org/gene?orgid=META&id=AT2G42310
IIL1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G43090
IPMI2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G43100
bio2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G43360
OASB,HTTPS://biocyc.org/gene?orgid=META&id=AT2G43750
Cnx6,HTTPS://biocyc.org/gene?orgid=META&id=AT2G43760
UGT74F2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G43820
5PTase12,HTTPS://biocyc.org/gene?orgid=META&id=AT2G43900
AT2G44050,HTTPS://biocyc.org/gene?orgid=META&id=AT2G44050
AtMTHFR-2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G44160
CSY4,HTTPS://biocyc.org/gene?orgid=META&id=AT2G44350
PEN2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G44490
TPK2,HTTPS://biocyc.org/gene?orgid=META&id=AT2G44750
DAD1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G44810
CCD7,HTTPS://biocyc.org/gene?orgid=META&id=AT2G44990
GAE4,HTTPS://biocyc.org/gene?orgid=META&id=AT2G45310
PMM,HTTPS://biocyc.org/gene?orgid=META&id=AT2G45790
CYP86A8,HTTPS://biocyc.org/gene?orgid=META&id=AT2G45970
PANB1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G46110
JAR1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G46370
SDH8,HTTPS://biocyc.org/gene?orgid=META&id=AT2G46390
SDH4,HTTPS://biocyc.org/gene?orgid=META&id=AT2G46505
LACS1,HTTPS://biocyc.org/gene?orgid=META&id=AT2G47240
COXVc,HTTPS://biocyc.org/gene?orgid=META&id=AT2G47380
UXS4,HTTPS://biocyc.org/gene?orgid=META&id=AT2G47650
at2g47690,HTTPS://biocyc.org/gene?orgid=META&id=AT2G47690
GSTF8,HTTPS://biocyc.org/gene?orgid=META&id=AT2G47730
